"","neg","pos","p","test"
"n","   500","   268","",""
"pregnant (mean (SD))","  3.30 (3.02)","  4.87 (3.74)","<0.001",""
"glucose (mean (SD))","110.64 (24.78)","142.32 (29.60)","<0.001",""
"pressure (median [IQR])"," 70.00 [62.00, 78.00]"," 74.50 [68.00, 84.00]","<0.001","nonnorm"
"triceps (mean (SD))"," 27.24 (10.03)"," 33.00 (10.33)","<0.001",""
"insulin (mean (SD))","130.29 (102.48)","206.85 (132.70)","<0.001",""
"mass (median [IQR])"," 30.10 [25.60, 35.30]"," 34.30 [30.90, 38.92]","<0.001","nonnorm"
"pedigree (mean (SD))","  0.43 (0.30)","  0.55 (0.37)","<0.001",""
"age (mean (SD))"," 31.19 (11.67)"," 37.07 (10.97)","<0.001",""
"diabetes = pos (%)","     0 (0.0) ","   268 (100.0) ","<0.001",""
